number,question_title,answer_url,author_name,fans_count,created_time,updated_time,comment_count,voteup_count,content
220800001,护士在工作中要承受哪些方面的压力？,https://www.zhihu.com/question/502125783/answer/2248993635,3lok,17,2021/11/30 0:17,2021/11/30 0:17,0,0,工作压力大（夜班较多，加班常态化），学习压力大（几乎每个季度都要考试），社会地位低，医护矛盾，护患矛盾有时候较为繁琐
220800002,医生在现实生活中的收入有多高？,https://www.zhihu.com/question/354831599/answer/1221165179,匿名用户,0,2020/5/14 1:55,2021/3/7 21:35,296,565,"有些外行人就喜欢主观臆断，自己觉得怎样怎样。中国这么大 医院这么多。同样是三甲收入差别也大着呢。总的来说就是1.效益好的医院待遇不一定好2.效益差的医院待遇一定差3.大医院不一定比小医院有钱4.同一家医院不同科室收入差距可能翻倍5.边远省份的头部医院，甚至比内地发达城市的医院有钱的多。先解释第一句效益好医院一定就有钱，但医院有钱是一回事，给不给你发就是另一回事了。不要觉得医院够大，够气派，你进去就吃香的喝辣的。最典型的例子就是北大的附属医院和吉大的附属医院。北大几家附属医院的水平不知道高吉大附院几个档次，营收也不知高了多少。但北大系统的医院是出了名的抠，吉大附院是有名的慷慨。北医三院 （北大最好的医院）博士学历，工作几年的主治，大内科收入也就1万多。（你不要跟我说北医某某主任，某某院士家财万贯。那个级别的大佬去哪都是高收入 这里只讨论普通人）吉大附一院的临床科室连公认的穷科——儿科，主治月入都能到2万左右。第二句不用解释吧？解释第三句北京81家三甲医院，并不是个个都跟协和似的一号难求，好多医院其实都没什么病人。这些医院要说水平不知高县医院多少档次（你别看这些没什么人的三甲，穷的奖金都要发不出了，人家招聘依旧要名校博士）但一个县医院如果能垄断全县的病人，收入可比北京这些没什么人的三甲医院有钱的多。江苏好多县医院 比如昆山医院 收入比南京好多大三甲都滋润。在北京你如果愿意去乡下卫生所，我们怀柔区光进山补贴一个月就5000，一个月绩效，奖金加补助，刚入职到手就有1万五。昌平，顺义财政实力雄厚，据说补的钱更多。北京市中心好多三甲，效益差的科室，都拿不到这么多钱。再举个例子。重庆第一人民医院在重庆屁都不是。前十都排不进去。但人家皮肤科一个月奖金就7万。比重庆最好的西南医院，重医一附都爽。小道消息，该院皮肤科主任现在还不是博导，但马上是西南医科大学的博导了。考他的博，大概率能留下。解释第四句拿吉大一院举例子 妇产科主治收入大概在3-4万。妇产科在全国大多数医院都属于收入比上不足比下有余的科室。一般可以看成三甲医院的中流收入水平。好的科室 骨科 心内等4到6万穷的科室儿科 风湿科一两万同一家医院同样博士学历 同样级别 不同科室的医生收入差距也是巨大。解释第五句你看那些边远省份的地头蛇医院，别看他水平上啥也不是吧。但人家就是有钱，比如新疆自治区人民医院，贵州省人民医院，云南省第一人民医院，兰大二院，甘肃省人民。归其原因一个是，人家虽然全国排行，榜上无名。但毕竟是本省地头蛇，有的是病人，不缺排队送钱的。另一个就是偏远省份普遍医保不好，报销种类少，保险比例也低。病人自费多。病人自费多医生赚的就多。还有一个就是中国的公立医院是没有定价权的，各地政府主管部门负责定价。你不要想当然的以为发达地区就会定高价。你来北京看看，大部分医疗项目收费标准比四川都低。沿海各省收费最低的就是浙江，这也造成浙江医生是真的穷。学医的你如果家不是浙江的，又没有强烈的去浙江发展的欲望。那趁早转移目标。江浙沪地区建议去苏南，尤其是苏州。不去江浙沪的话，沿海最推荐去广东，广州，深圳，佛山，东莞这四个城市待遇最好。………………………………………………番外 劝大家不要在大城市疯狂内卷我遇见过一个广西医科大学的博士。雄赳赳气昂昂的想要来北京找工作。我跟他说你双外毕业生（非北京本地学校毕业，非北京户口）很难在北京找工作。他不信，说""中国博士还是稀有的，不可能找不到。""广西具体是什么情况我不太清楚，可能在广西确实博士毕业就很抢手吧。我也知道中国14亿人口，博士在总人口面前是凤毛麟角。但北京真的不缺博士。北京产博大户 ——首都医科大学每年毕业300多临床博士。北大，协和，清华，首都医科大，北京中医药大学，解放军军事医学院（解放军总医院）。每年加到一起起码能毕业600+博士。再加上外地名校博士，欧美日本洋博士来京的起码得有1000多临床博士一起找工作。北京的好医院，每年可招不了这么多人，水平一般又非要留京就只能人才下沉。博士去社区医院，校医院，去二甲（在北京还真有）收入真的不高。我经常做水光针的那个大兴人民医院，就是以前的大兴县医院。我一直约的那个医生就是华西的硕士。我总在想，他如果留在云贵川，起码也得进个市级头部三甲吧？运气好点省三甲也是有可能的。在北京郊县县医院可真是屈才了。北京81家三甲医院，人口就这么多，病人就这么多，好多三甲自己都没吃饱，二甲更是穷的揭不开锅。我妈在北京一个郊区二甲中医院，副高职称上个月科室奖金就200。但是偏远省份，是真的缺博士。就说云南，你看看那几个省内顶尖医院的官网介绍，以及每年录用人员公示名单。你就会发现博士并不多，还是以硕士为主的。相对来说如果你不是内卷之王。只是水平一般，有那么三四篇sci，没什么过硬的人脉。你博士毕业在北京上海大概率只能去收入很差的末流三甲，去边远省份却很大概率进收入很高的省级地头蛇三甲。"
220800003,医生在现实生活中的收入有多高？,https://www.zhihu.com/question/354831599/answer/889655989,北海盗僧,370,2019/11/11 8:46,2019/11/11 8:46,358,868,我是一家地级市三甲医院的内科医生，中级职称，我一个月收入我也数不清。这么说吧，我有五张卡，一个折。折里面每个月进账3W左右。另外五张卡里面，最少的那张每个月进账大约20W，最多的那张每个月进账大约150W。这都是我辛辛苦苦勤勤恳恳管患者赚的红包钱和药品回扣。以上这些是有一个投诉我的患者写的。。。我要是真有这么多收入，我宁可被投诉。实际情况是工资3600+，奖金1000-2000。其他的，只要有，就是刑事犯罪，所以我还犯不上。这么点钱，我何必管那些病重事多的患者。对了，那个投诉我的患者，是因为我说医保有不保险的药物，他认为我在为难他，于是。。。
220800004,医生在现实生活中的收入有多高？,https://www.zhihu.com/question/354831599/answer/2406541710,啊利,47,2022/3/25 13:12,2022/3/25 13:12,48,147,"东南沿海四线城市，二甲医院，神经外科主治医师，月收入4万。别问我收入组成是什么，我不知道，我月收入4万，也是别人告诉我的。市人民医院有个朋友有一次打电话给我说，说我是不是一个月有4万多，我说没有，他说我不用骗他，他们科室昨天和我医院领导吃饭，说的，说我每个月至少这个数，也就是说我还有年薪百万的潜力，艹他的鸡八毛领导，你特么装逼就不要带上我，我不够的那部分是不是你补上去，装逼有份吃饭不带我一份。去年我因为工资低辞职，那个财务科主任说我前年平均一万三一个月，由于我平时大手大脚，没存钱概念，银行卡也没有手机短信业务，我当时甚至有一点点内疚。今年下载了个人所得税APP,前年总收入9万8，艹，医院给我存了这么多，欠我的那些是微信还是打进银行卡。"
220800005,医生在现实生活中的收入有多高？,https://www.zhihu.com/question/354831599/answer/1901731980,匿名用户,0,2021/5/23 18:32,2021/5/23 18:32,377,123,目前工作5年了，年纪也差不多30了。专业是家里学医的亲戚帮我挑的，口腔。医院是某本地排名第二的专科医院，老板建议我去的，工作不算很忙，福利都给。规培在自家，没出去，机会是主任争取的。一路上，我觉得我还算幸运了。这些年我们院只收四证合一，并且名校的学生了。去年，2020年，我的收入多少？喏，前段时间统计个税：能挣多少钱，你自己算好吗？去年因为2、3两个月都没开工，后面受疫情影响，收入确实比平常低，但平时一年下来也就不到15万。最简单道理，我一年工作量就100万出点头，扣掉材料成本什么，发下来不到20万，到手不就只有这么点吗？别跟我说什么将来会变多，前些年确实比这少，但未来，我就这么多了，这辈子就这么多了。科里高年资的医生，病人会比我多一点，比我富一点，但是除了个别能捞钱的，其他人也比我多不了多少。收费是固定的，人的时间是有上限的，体力是有限的，你说能赚多少？不吃不喝，一年攒一个厕所。房租两千逃不掉，单位食堂吃一顿，外卖一顿，早餐2个包子1个鸡蛋，一天伙食费50，一个月1500。其他各项开支加起来，一个月几百。不出门，不聚餐，不看电影，不谈恋爱，周末就刷刷手机在家，连衣服都不买，穿工作服，带裤子的。没有爱好，因为不配。偶尔玩玩游戏充几十块，打发时间。目前的存款，买个厕所有余，买个卧室还不够。朋友问我为什么不买车，我说白送都不要，一辆车一年起码一万，我要攒多久的钱才够首付？我16年毕业的时候，高中同学普遍没读研，不管是考公务员的，还是在企业的，当老师的，家里凑一点就已经上车了。16年开始，眼看着房价飞涨，我在规培，科里发基本奖。现在我干到30岁了，还是连个房子都没有。为什么说医生的收入高？知乎天天说土木不好，我同学搞土木的，在一个我听都没听过的房地产公司（据说挺有名气的还是上市公司），15年初就工作了，现在两套房，两个娃，奔驰车。当时我第一志愿就是土木，而且学校比他好，听了家里人的劝才改学医的。你说我后悔不后悔。
220800006,医生在现实生活中的收入有多高？,https://www.zhihu.com/question/354831599/answer/1999569783,酸菜,995215,2021/7/15 13:47,2021/7/15 13:47,2,55,不管什么行业，只有顶层的一小部分人真正算的上高收入，而至于这个行业的其他人，也只能说混口饭吃吧！在医学中有句话叫：医生不如伙夫，供求关系决定了内卷程度。“刚才看到有人4000块一个月招农民工。”“神经病吧，现在4000块哪招的到农民工，只能招到大学生！”上面这个段子之前可能是笑话，但随着中国教育情况的改变，可能正慢慢的变成现实。年年都是最难毕业季，大学生供大于求，找不到心仪的工作，也让很多人产生了继续求学的想法，考研、考博。然后发现，很多人都是这么想的。。。。。。今年硕士扩招了近19万，中国博士数量也已经是世界第一。硕士、博士也开始供大于求，本来本科生就能胜任的职位，现在都开始要求硕博了。这就是典型的内卷！许多博士理想的工作就是在高校谋得一份稳定的教职，进行科研与教学。但现在高校基本都实行了“非升即走”的制度，只和博士签3年合同，并且有明确的SCI和基金要求。3年后，博士达不到就要走人，根本算不上稳定。Science的一篇文章则对美国39个研究机构的博士生的职业规划进行了调查。在调查结果中，发现生物学博士的职业计划与其他学科有较为显著的不同，74%的生物博士选择继续从事博士后工作，而其他领域的博士仅为46%。同时，希望从事博后工作的学生，更倾向于进入学校系统谋取教职，而没有博后计划的学生，则更希望进入企业从事研发工作。内卷成性，性价比低，博士逃离科研圈早已不是什么新鲜事，在美国和欧洲也都有类似现象。从个人角度分析，这本就是每个人自己的选择，也无可厚非。而随着这些年全球各国家进行博士扩招，毕业生博士数量快速增长，而全球经济发展科研岗位需求数量却在下降，在科研领域里求职已要面临了更多的困难。在市场调节的作用下，学术界似乎并没有蓬勃发展，博士生的薪酬达不到预期期望。因此，在面临着巨大现实的压力（如照顾家庭等）下，博士不得不另谋出路。这时候就看出还是我国清北水平高，既然高校都不稳了，那就降维打击。2018年，杭州市余杭区各街道办的一份招聘公示，报名的清一色是清北硕博。当时看到这条新闻的大众们都觉得，是社区高攀了。但随后仔细一想，高校能提供旱涝保收的35万+的年薪、8~6万的安家费、10~20万的购房补助吗？为了留校，发SCI、申基金和其他博士竞争，比在街道要多耗多少头发？现在的就业市场本就是多元选择、双向选择并存的。职业和专业之间已不再是强绑定，学历越高就意味着学习能力更强、更自律也更有潜力，就业选择面就越广，自然也可以向下兼容，用自己的学历优势去卷本科生。那么如果想要转行，又该何去何从呢？一般建议要转行的科研者们需慎重考虑下自身的性格特点，毕竟隔行如隔山，一个新的行业就是一个新的领域，需要科研者们从零开始学习并且需花费大量的时间和精力，才能在新的领域占有一席之地。比如对从事科研的博士而言，其思维模式大抵如下：查看文献了解最新进展与热点→做预实验判断结果趋势→申请课题配备相应设备与耗材→漫长的重复实验→整理实验结果→补实验自圆其说→撰写文章投稿→修稿并补实验→文章正式发表→撰写论文与报告→结题/继续深入研究。这种典型的思路，相对比较简单，容易造成人思路的僵化。博士生的生活，大部分时候像苦行僧，孤独且寂寞，时间投入很多，有许多隐性的辛苦。但这样的生活不需要太多的奔波，不需要太多的差旅。此外，做研究往往就是那么一个很小的圈子，没到导师级别的研究者往往在圈子的边缘或者索性跟圈子不沾边。因此研究者与人打交道的时候，因此研究者与人打交道的时候往往只是单纯的交流而已。那么，如果科研界转行者想要从商，首先就要打破自己的思维框。因为顾客/客户的需求随着时间和环境的变化而变化，如何提前嗅到这一点，往往更像是一种艺术。再者，从事商业活动时，会有大量的应酬、培训，大量的出差。科研者需要训练自己的沟通技巧，让利益相关者的需求被满足，才能促成为了生意的完成。然而，科研者的优势也是非常明显的：严谨的思路，逻辑的结构；对数字的敏感性，寻找事实作为判断依据；与客户相当甚至超越客户的学术水平。那么这几点优势对我们转行有什么帮助呢？以目前医疗/医疗服务行业为例，对一个想从事职业经理人的科研者而言，必须慢慢对企业进行全盘的了解、领会、预测。当然，企业的运行也是有一定规律的。此时，科研工作者的科研思路就成为了一种优势，如何把握市场趋势，并适时适当的推出满足市场需求的产品，大局观自然而然展现出了独到之处。这种大局观在很多经历中都可以形成，幸运的是，一个独立承担过科研课题的科研者，恰恰会得到这方面的培养。Nature杂志曾经也对科学训练在科研者转行中所起的作用进行了调查，并择其中三个代表性人物进行了介绍，一个是有机化学博士成为成功的金融家，一个是物理学博士成为网站老板，另一个是生理学博士成为家庭主男。这三位人士之所以能在其他领域获得成功，也是受惠于科研过程对其逻辑创新思维的训练。对于医学生考研考博，为的就是能有块进大医院的敲门砖。但在最近黑龙江中医药大学附属某医院的招聘通知中出现了一个奇葩的现象。此次招聘医院计划招聘内科病房医生和综合外科病房医生各一名，要求学历在硕士及以上，须有执业医师资格、规培证，工资待遇为1700元。与之形成对比的是，该招聘通知中同时招聘两名食堂员工，但食堂工作人员专业和学历不限，需有健康证，工资待遇为2000元。这是一家三甲医院，医生月薪却只有1700元，虽然说1700元月工资可能只是基础工资。一般情况下，除基础工资外，医生还会有绩效工资以及各类补贴等收入。但一个医学硕士的明面工资还不如食堂工作人员，是不是也一定程度上反映了供求关系？对于大城市的医院来说，硕博削尖了脑袋都要进，是绝对数量上的供大于求，因此待遇下降，符合市场规律。但对于一些基层医院，绝大多数硕博都看不上眼，供小于求，硕博的身份就很吃香了。这也就是最近兴起的“临床躺学”。远离竞争激烈的一线强三甲，放弃成为“人上人”，直接回小城市的基层医院“躺平”。这里说明下，中国医院的奇特之处，就是医院等级越高，但是基层医生收入却不一定高。大医院最吸引人的是平台，以及成为副主任之后的收益。大医院科研压力大，竞争激烈，收入可能高于基层医院，但加班多，时薪算下来可能更低，且大城市生活成本更高，妥妥的Hard模式。以前进大医院是用现在的生活来换取未来的高收益，但随着临床医疗改革的推进和“以药养医”时代的落幕，大医院医生的收入下降的比小医院更多。年轻医护群体像在房价高企时代上车的刚需族，说难听点就是妥妥的韭菜。而在小医院，由于硕博少，在最大程度上避免了恶性竞争，有假有闲病人情况较轻，过年关病房，夜里少急诊。对于非精英医生来说（大部分医生），不失为一种性价比更高的选择。说到底，大部分人读硕读博都是为了去卷别人，而不被别人卷了。
220800007,医生在现实生活中的收入有多高？,https://www.zhihu.com/question/354831599/answer/2006420796,哲野,148,2021/7/19 7:58,2021/7/19 7:58,4,14,好多人说，年轻医生没钱正常，熬到高年资医生收入就上来了。大家都知道，明面收入，高年资和低年资医生收入差距不大的。是不是默认熬到高年资医生可以狠狠捞钱了？是不是默认熬到高年资医生可以狠狠捞钱了？是不是默认熬到高年资医生可以狠狠捞钱了？好多年轻医生吃苦受累，坚持熬的信念是不是也是这个？悲哀呀
220800008,医生在现实生活中的收入有多高？,https://www.zhihu.com/question/354831599/answer/1937708726,匿名用户,0,2021/6/13 10:47,2021/9/25 22:59,224,96,浙江某地级市三甲中医院，我中医硕士工作第一年，基本工资2000冒头，至于奖金，少的时候1500，多的时候两千多，每个月平均到手4000+，年终奖4w左右，季度奖总共2w左右。我们科除了科主任没人需要交个税，因为不到起征点.......至于其他人说的灰色收入，不好意思，问就是没有。第一，没人给你送，第二，送了你也不敢收，浙江廉政查的很严，如果不小心在不知情的情况下“被”收了，还要自己存到廉政账户里去……第三，如果想赚大钱，谁会当医生？公积金2000+，然而当地房价20000+，但凡需要买房养娃养爸妈，这个收入都是远远不够的，所以同事要么就搞搞其他副业，要么就找个赚钱比自己多的对象，无解。如果不买房不结婚不养爸妈，那这个工资还是比较滋润的，一个人吃吃喝喝买买衣服，一年买一个1w左右的数码产品，攒几年买个20w以下的代步车还是够的。（当然，科室之间奖金差别很大，但挣得多意味着更忙，忙到没有双休，忙到一个夜班抢救四五个病人，忙到挣了钱没时间花，劳动量和奖金都是成正比的，酸不来）更新：我说月收入到手四千多怎么这么多人不信？？我也不想信可是事实就这么多哇！加上五险一金，这是今年的：评论区关了，我不知道在评论里抬杠的、骂人的、冷嘲热讽阴阳怪气的这群人，生活里是有多不堪或者多清闲？对我一个陌生人这么大恶意？我工作多少挣多少，都是我靠自己的努力过我的生活，我对我的现状满不满意，用不着您评头论足，也轮不到您来质疑我，管好你自己！
220800009,医生在现实生活中的收入有多高？,https://www.zhihu.com/question/354831599/answer/2029777295,飞飞,7670,2021/7/30 23:31,2021/7/30 23:31,12,4,笑死，本来在知乎上看大家工资对未来很迷茫，结果今天看到带教五月份的奖金条，只能说又开始对未来生活充满希望了。
220800010,医生在现实生活中的收入有多高？,https://www.zhihu.com/question/354831599/answer/918826624,草根抗癌,6020,2019/12/2 10:19,2022/5/9 18:57,10,47,医生收入太高了，除了工资，各种奖金也太高了，屠呦呦认识吗？据说去国外瑞士拿了个诺什么尔什么的奖，奖金都有一千万，一千万啊，看看见过一千万的人多？还是拿这个奖的人多？不说了，总之很赚钱，所以我都开健康管理咨询公司了，因为这样更好赚嘛，赚的都是几个合伙人分，虽然目前办公室还租在上海地铁一号线莘庄地铁站北广场附近的商住两用房里，但是钱好赚就行，以后办公室目标是甲级写字楼解放大厦，或者虹桥商务区。具体说说我们的业务，分析下钱怎么来的哈？我们主要是服务晚期肺癌和肝癌患者，因为两个合伙人之前主要是这两块哈，你想想，肺癌每年上百万，肝癌每年五六十万，而国内新特药上市慢，医生忙，服务差，沟通不到位，我们的习惯特别能为知识服务。而且很多肿瘤医生忙于坐诊和手术，发论文等，对基因检测，靶向治疗，靶向药的了解及认识都非常不足，所以我们咨询服务费很好收，一线二线用药是什么？基因检测怎么做？不同药副作用大小？副作用怎么处理？靶点强弱，入脑效果如何？控制率多少？生存期多久？一般没说完咨询费病人都抢着给了，只有个别咨询前都说咨询完给，咨询完说下次给，下次就下次再说吧。出国医疗中介服务也是，比如我们合作的印度富通纪念医院，最高有总统套房级别的病房，医生和护士都是专属的，保安也是单独的，下面普通病房更多，具体说百分之六十医生都有欧美执业资格证书，国内三甲医院的规模设备，但2018年只服务了3000人，一半还都气外国患者，这么说大家都有概念了。我们可以收中介咨询服务费，翻译服务费，陪护费等等，总之非常赚钱。开工没有回头路，我们会继续，但别以为医生真的钱太容易了，天下没有好赚的钱！对了，需要购买经济实惠的肿瘤靶向药，乙肝丙肝抗病毒，降血糖曲格列汀等药物的可以联系我，国外药厂直邮，品质更有保障，比医保报销完还便宜。升血小板，乙肝丙肝抗病毒，肿瘤靶向药问诊购药服务京东¥100.00去购买
